     velsurf       thk_regu           glen
     86.4932        16.7276        -0.3530
     85.9392        16.5386        -0.3530
     85.5406        16.4068        -0.3530
     85.1931        16.2991        -0.3530
     84.8762        16.2043        -0.3530
     84.5769        16.1179        -0.3530
     84.2972        16.0370        -0.3530
     84.0255        15.9605        -0.3530
     83.7565        15.8876        -0.3530
     83.4874        15.8174        -0.3530
     83.2265        15.7491        -0.3530
     82.9672        15.6826        -0.3530
     82.7083        15.6177        -0.3530
     82.4498        15.5543        -0.3530
     82.1905        15.4917        -0.3530
     81.9269        15.4298        -0.3530
     81.6642        15.3690        -0.3530
     81.4014        15.3088        -0.3530
     81.1219        15.2488        -0.3530
     80.8558        15.1892        -0.3530
     80.5902        15.1302        -0.3530
     80.3212        15.0717        -0.3530
     80.0502        15.0134        -0.3530
     79.7732        14.9551        -0.3530
     79.4987        14.8971        -0.3530
     79.2184        14.8400        -0.3530
     78.9393        14.7828        -0.3530
     78.6514        14.7265        -0.3530
     78.3632        14.6692        -0.3530
     78.0708        14.6131        -0.3530
     77.7743        14.5570        -0.3530
     77.4745        14.5008        -0.3530
     77.1723        14.4447        -0.3530
     76.8762        14.3896        -0.3530
     76.5718        14.3339        -0.3530
     76.2721        14.2789        -0.3530
     75.9695        14.2238        -0.3530
     75.6711        14.1690        -0.3530
     75.3650        14.1144        -0.3530
     75.0689        14.0600        -0.3530
     74.7727        14.0050        -0.3530
     74.4839        13.9500        -0.3530
     74.2005        13.8944        -0.3530
     73.9184        13.8402        -0.3530
     73.6425        13.7859        -0.3530
     73.3706        13.7318        -0.3530
     73.0957        13.6786        -0.3530
     72.8264        13.6259        -0.3530
     72.5611        13.5727        -0.3530
     72.3008        13.5205        -0.3530
     72.0425        13.4684        -0.3530
     71.7817        13.4179        -0.3530
     71.5312        13.3672        -0.3530
     71.2873        13.3159        -0.3530
     71.0439        13.2661        -0.3530
     70.7986        13.2171        -0.3530
     70.5578        13.1688        -0.3530
     70.3213        13.1202        -0.3530
     70.0940        13.0718        -0.3530
     69.8672        13.0244        -0.3530
     69.6480        12.9774        -0.3530
     69.4334        12.9317        -0.3530
     69.2170        12.8866        -0.3530
     69.0073        12.8416        -0.3530
     68.7967        12.7974        -0.3530
     68.5913        12.7539        -0.3530
     68.3876        12.7121        -0.3530
     68.1897        12.6695        -0.3530
     67.9944        12.6285        -0.3530
     67.7973        12.5873        -0.3530
     67.6066        12.5485        -0.3530
     67.4185        12.5091        -0.3530
     67.2331        12.4708        -0.3530
     67.0515        12.4332        -0.3530
     66.8631        12.3949        -0.3530
     66.6867        12.3564        -0.3530
     66.5129        12.3197        -0.3530
     66.3410        12.2835        -0.3530
     66.1717        12.2476        -0.3530
     66.0012        12.2138        -0.3530
     65.8385        12.1786        -0.3530
     65.6737        12.1478        -0.3530
     65.5158        12.1124        -0.3530
     65.3550        12.0812        -0.3530
     65.2020        12.0459        -0.3530
     65.0484        12.0159        -0.3530
     64.8984        11.9815        -0.3530
     64.7468        11.9509        -0.3530
     64.5973        11.9189        -0.3530
     64.4494        11.8882        -0.3530
     64.3078        11.8582        -0.3530
     64.1712        11.8281        -0.3530
     64.0350        11.7974        -0.3530
